Entry	Domains	InterPro
Q62074	AGC-kinase C-terminal domain (1); OPR domain (1); Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1)	IPR000961; IPR020454; IPR011009; IPR000270; IPR012233; IPR017892; IPR002219; IPR000719; IPR017441; IPR002290; IPR008271; 
Q5R4K9	AGC-kinase C-terminal domain (1); OPR domain (1); Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1)	IPR000961; IPR020454; IPR011009; IPR000270; IPR012233; IPR017892; IPR002219; IPR000719; IPR017441; IPR002290; IPR008271; 
F1M7Y5	AGC-kinase C-terminal domain (1); OPR domain (1); Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1)	IPR000961; IPR020454; IPR011009; IPR000270; IPR012233; IPR017892; IPR002219; IPR000719; IPR017441; IPR002290; IPR008271; 
Q5PXS1	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P42683	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P06239	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P06240	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q01621	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q95KR7	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q969G2	Homeobox DNA-binding domain (1); LIM zinc-binding domains (2)	IPR017970; IPR001356; IPR009057; IPR001781; 
Q99732		IPR006629; 
Q9JLJ0		IPR006629; 
P0C0T0		IPR006629; 
Q6P1Q0	LETM1 domain (1)	IPR011685; 
Q924L1	LETM1 domain (1)	IPR011685; 
P12980	BHLH (basic helix-loop-helix) domain (1)	IPR011598; 
P07948	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P25911	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q07014	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P41279	Protein kinase domain (1)	IPR011009; IPR017424; IPR000719; IPR008271; 
Q07174	Protein kinase domain (1)	IPR011009; IPR017424; IPR000719; IPR008271; 
Q63562	Protein kinase domain (1)	IPR011009; IPR017424; IPR000719; IPR008271; 
Q8NHW3	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
Q8CF90	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
Q9Y5Q3	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
Q2PFS4	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
P54841	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
P54842	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
A7Z017	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
O75444	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
P54843	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
P54844	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR004826; IPR013592; IPR008917; IPR024874; 
P04201		IPR000276; IPR017452; IPR026234; IPR000820; 
P30554		IPR000276; IPR017452; IPR026234; IPR000820; 
P12526		IPR000276; IPR017452; IPR026234; IPR000820; 
O15068	CRAL-TRIO domain (1); DH (DBL-homology) domain (1); PH domain (1); SH3 domain (1); Spectrin repeat (1)	IPR001251; IPR000219; IPR001331; IPR011993; IPR001849; IPR011511; IPR001452; IPR018159; IPR002017; 
Q64096	CRAL-TRIO domain (1); DH (DBL-homology) domain (1); PH domain (1); SH3 domain (1); Spectrin repeat (1)	IPR001251; IPR000219; IPR001331; IPR011993; IPR001849; IPR001452; IPR018159; IPR002017; 
Q63406	CRAL-TRIO domain (1); DH (DBL-homology) domain (1); PH domain (1); SH3 domain (1); Spectrin repeat (1)	IPR001251; IPR000219; IPR001331; IPR011993; IPR001849; IPR001452; IPR018159; IPR002017; 
P10911	CRAL-TRIO domain (1); DH (DBL-homology) domain (1); PH domain (1); Spectrin repeat (1)	IPR001251; IPR000219; IPR001331; IPR011993; IPR001849; IPR018159; 
Q00987	RanBP2-type zinc finger (1); RING-type zinc finger (1); SWIB domain (1)	IPR028340; IPR015459; IPR016495; IPR003121; IPR001876; IPR001841; IPR013083; 
Q60524	RanBP2-type zinc finger (1); RING-type zinc finger (1); SWIB domain (1)	IPR015459; IPR016495; IPR003121; IPR001876; IPR001841; IPR013083; 
P23804	RanBP2-type zinc finger (1); RING-type zinc finger (1); SWIB domain (1)	IPR028340; IPR015459; IPR016495; IPR003121; IPR001876; IPR001841; IPR013083; 
Q8NDY4		
Q60954	Homeobox DNA-binding domain (1)	IPR001356; IPR008422; IPR009057; 
Q12866	Fibronectin type-III domains (2); Ig-like C2-type (immunoglobulin-like) domains (2); Protein kinase domain (1)	IPR003961; IPR007110; IPR013783; IPR013098; IPR003599; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; 
Q60805	Fibronectin type-III domains (2); Ig-like C2-type (immunoglobulin-like) domains (2); Protein kinase domain (1)	IPR003961; IPR007110; IPR013783; IPR003599; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; 
P57097	Fibronectin type-III domains (2); Ig-like C2-type (immunoglobulin-like) domains (2); Protein kinase domain (1)	IPR003961; IPR007110; IPR013783; IPR013098; IPR003599; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; 
Q07DV8	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q00PJ8	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q09YL1	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q769I5	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2QLG5	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2QLC0	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q75ZY9	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2IBA6	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q07DZ1	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q07E48	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
A1X150	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2IBG7	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
A0M8S8	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2IBF2	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2QLA9	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
P08581	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q108U6	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2QL89	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
P16056	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q09YK0	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q07E24	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q07E37	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q07DY1	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q07E01	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2QLH6	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2QLF1	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
A0M8R7	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2QLE0	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2IBD8	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q09YN5	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
P97523	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q2IBC0	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q09YH7	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q09YI9	IPT/TIG domains (3); Protein kinase domain (1); Sema domain (1)	IPR013783; IPR014756; IPR002909; IPR011009; IPR016201; IPR002165; IPR000719; IPR017441; IPR001627; IPR001245; IPR008266; IPR020635; IPR016244; IPR015943; 
Q969V6	RPEL repeats (2); SAP domain (1)	IPR004018; IPR003034; 
P10650	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR008271; 
P00540	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR008271; 
P00536	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR008271; 
P50118	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR008271; 
P00539	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR008271; 
P12965	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR008271; 
P56278		IPR004832; 
Q06455	MYND-type zinc finger (1); TAFH (NHR1) domain (1)	IPR013289; IPR013290; IPR014896; IPR003894; IPR002893; 
P50539	BHLH (basic helix-loop-helix) domain (1)	IPR011598; 
P46200	HTH myb-type DNA-binding domains (3)	IPR015395; IPR009057; IPR017930; IPR001005; IPR012642; 
P01103	HTH myb-type DNA-binding domains (3)	IPR015395; IPR009057; IPR017930; IPR001005; IPR012642; 
P10242	HTH myb-type DNA-binding domains (3)	IPR015395; IPR009057; IPR017930; IPR001005; IPR012642; 
P06876	HTH myb-type DNA-binding domains (3)	IPR015395; IPR009057; IPR017930; IPR001005; IPR012642; 
P20389	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
Q64210	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
P52160	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q7ZVS9	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P18444	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
P04198	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
Q61976	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
P03966	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
Q63379	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
P26014	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
P24793	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR002418; IPR012682; 
Q2HJ27	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P49032	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q28350	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P01109	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P68271	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q9MZU0	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P01106	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P49033	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
B8XIA5	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P22555	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P01108	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
A1YG22	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P23583	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q29031	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
A2T7L5	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q9MZT8	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
P09416	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q28566	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q9MZT6	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q9MZT7	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q9MZT9	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR003327; IPR002418; IPR012682; 
Q96EZ4		
P35749	IQ domain (1); Myosin head-like domain (1)	IPR000048; IPR027401; IPR001609; IPR004009; IPR008989; IPR002928; IPR027417; 
Q15788	BHLH (basic helix-loop-helix) domain (1); PAS (PER-ARNT-SIM) domain (1)	IPR011598; IPR010011; IPR009110; IPR014920; IPR017426; IPR000014; IPR013767; IPR014935; IPR008955; 
Q13772		IPR022174; 
Q00653	ANK repeats (7); Death domain (1); RHD (Rel-like) domain (1)	IPR002110; IPR020683; IPR011029; IPR000488; IPR013783; IPR014756; IPR002909; IPR000451; IPR008967; IPR011539; 
P31695	ANK repeats (5); EGF-like domains (29); LNR (Lin/Notch) repeats (3)	IPR002110; IPR020683; IPR000742; IPR001881; IPR013032; IPR000152; IPR018097; IPR009030; IPR008297; IPR022355; IPR000800; IPR011656; 
P28686	CTCK (C-terminal cystine knot-like) domain (1); IGFBP N-terminal domain (1); TSP type-1 domain (1); VWFC domain (1)	IPR006208; IPR006207; IPR009030; IPR000867; IPR012395; IPR017891; IPR000884; IPR001007; 
P42642	CTCK (C-terminal cystine knot-like) domain (1); IGFBP N-terminal domain (1); TSP type-1 domain (1); VWFC domain (1)	IPR006208; IPR006207; IPR009030; IPR000867; IPR012395; IPR017891; IPR000884; IPR001007; 
P06748		IPR004301; IPR024057; 
Q92570	Nuclear receptor DNA-binding domain (1)	IPR003072; IPR003070; IPR008946; IPR000536; IPR001723; IPR001628; IPR013088; 
Q96L73	AWS domain (1); PHD-type zinc fingers (4); Post-SET domain (1); PWWP domains (2); SET domain (1)	IPR006560; IPR003616; IPR000313; IPR001214; IPR019786; IPR011011; IPR001965; IPR019787; IPR001841; IPR013083; 
O96028	AWS domain (1); HMG box DNA-binding domain (1); PHD-type zinc fingers (4); Post-SET domain (1); PWWP domains (2); SET domain (1)	IPR006560; IPR009071; IPR003616; IPR000313; IPR001214; IPR019786; IPR011011; IPR001965; IPR019787; IPR001841; IPR013083; 
Q9BZ95	AWS domain (1); PHD-type zinc fingers (4); Post-SET domain (1); PWWP domains (2); SET domain (1)	IPR006560; IPR003616; IPR000313; IPR001214; IPR019786; IPR011011; IPR001965; IPR019787; IPR001841; IPR013083; 
P04629	Ig-like C2-type (immunoglobulin-like) domains (2); LRR (leucine-rich) repeats (2); LRRCT domain (1); Protein kinase domain (1)	IPR000483; IPR007110; IPR013783; IPR003599; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR020461; IPR020777; IPR002011; 
P35658		IPR026054; IPR015943; IPR001680; 
Q16633		IPR015389; 
Q13516	BHLH (basic helix-loop-helix) domain (1)	IPR011598; 
Q9HBE1	A.T hook DNA-binding domain (1); BTB (POZ) domain (1); C2H2-type zinc fingers (7)	IPR017956; IPR000210; IPR011333; IPR013069; IPR000637; IPR007087; IPR015880; IPR013087; 
P23760	Homeobox DNA-binding domain (1); Paired domain (1)	IPR017970; IPR001356; IPR009057; IPR001523; IPR022106; IPR011991; 
Q02548	Paired domain (1)	IPR009057; IPR001523; IPR022130; IPR011991; 
P23759	Homeobox DNA-binding domain (1); Paired domain (1)	IPR017970; IPR001356; IPR009057; IPR001523; IPR022106; IPR011991; 
P40424	Homeobox DNA-binding domain (1)	IPR017970; IPR001356; IPR009057; IPR005542; 
Q15154		IPR024138; 
Q6Q7I7		IPR023581; IPR000072; IPR006782; 
P12919		IPR023581; IPR000072; IPR006782; 
P01127		IPR023581; IPR000072; IPR006782; 
P31240		IPR023581; IPR000072; IPR006782; 
P20034		
Q05028		IPR023581; IPR000072; IPR006782; 
Q95229		IPR023581; IPR000072; IPR006782; 
Q9GZP0	CUB domain (1)	IPR000859; IPR000072; IPR027123; 
Q925I7	CUB domain (1)	IPR000859; IPR000072; IPR027123; 
Q13951		IPR003417; 
P16234	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR003598; IPR011009; IPR027290; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P26618	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR003598; IPR011009; IPR027290; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P20786	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR011009; IPR027290; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P09619	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR003598; IPR013151; IPR011009; IPR027288; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P35232		IPR001107; IPR000163; 
Q13492	ENTH (epsin N-terminal homology) domain (1)	IPR011417; IPR014712; IPR008942; IPR013809; 
Q9N0P9	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
Q95LJ0	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
P11309	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; IPR017348; 
P06803	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; IPR017348; 
P26794	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
Q9YHZ5	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
Q9P1W9	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
Q62070	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
Q86V86	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
P58750	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
O70444	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
Q91822	Protein kinase domain (1)	IPR011009; IPR000719; IPR008271; 
P32871	C2 PI3K-type domain (1); PI3K-ABD domain (1); PI3K-RBD domain (1); PI3K/PI4K domain (1); PIK helical domain (1)	IPR016024; IPR000008; IPR011009; IPR000403; IPR018936; IPR003113; IPR002420; IPR000341; IPR015433; IPR001263; 
P42336	C2 PI3K-type domain (1); PI3K-ABD domain (1); PI3K-RBD domain (1); PI3K/PI4K domain (1); PIK helical domain (1)	IPR016024; IPR000008; IPR011009; IPR000403; IPR018936; IPR003113; IPR002420; IPR000341; IPR015433; IPR001263; 
P42337	C2 PI3K-type domain (1); PI3K-ABD domain (1); PI3K-RBD domain (1); PI3K/PI4K domain (1); PIK helical domain (1)	IPR016024; IPR000008; IPR011009; IPR000403; IPR018936; IPR003113; IPR002420; IPR000341; IPR015433; IPR001263; 
Q58NQ5	C2H2-type zinc fingers (7)	IPR027775; IPR027765; IPR007087; IPR015880; IPR013087; 
Q6DJT9	C2H2-type zinc fingers (7)	IPR027775; IPR027765; IPR007087; IPR015880; IPR013087; 
Q9QYE0	C2H2-type zinc fingers (7)	IPR027775; IPR027765; IPR007087; IPR015880; IPR013087; 
Q5U2T6	C2H2-type zinc fingers (7)	IPR027775; IPR027765; IPR007087; IPR015880; IPR013087; 
P29590	B box-type zinc fingers (2); RING-type zinc finger (1)	IPR021978; IPR000315; IPR001841; IPR013083; IPR017907; 
Q92733		IPR018800; 
Q3SZY3		IPR018008; IPR006940; 
A1YF19		IPR018008; IPR006940; 
O95997		IPR018008; IPR006940; 
Q9CQJ7		IPR018008; IPR006940; 
A2T767		IPR018008; IPR006940; 
Q9BDP6		IPR018008; IPR006940; 
P97613		IPR018008; IPR006940; 
Q9NZH5		IPR018008; IPR006940; 
Q9NZH4		IPR018008; IPR006940; 
Q2QD15		IPR018008; IPR006940; 
Q2QD14		IPR018008; IPR006940; 
A4FV54		IPR027417; IPR005225; IPR001806; IPR003579; 
P61007		IPR027417; IPR005225; IPR001806; IPR003579; 
Q5F470		IPR027417; IPR005225; IPR001806; IPR003579; 
P61006		IPR027417; IPR005225; IPR001806; IPR003579; 
P55258		IPR027417; IPR005225; IPR001806; IPR003579; 
